"nature","section","section2","section3","comite"
"MCF","27","","","Bernard Cousin (PR Rennes - président)
Patrick Lacharme (MCF ENSICAEN - vice président)

Sébastien Adam (PR Univ Rouen)
Serge Chaumette (PR Univ Bordeaux)
Gael Dias (PR Univ Caen)
Amine Nait Ali (PR Univ Paris 13)
Christophe Rosenberger (PR ENSICAEN)

Carlos Aguilar (MCF Univ Limoges)
Grégory Bonnet (Univ Caen)
Sébastien Gambes (MCF Univ Rennes)
Jean-Francois Lalande (MCF ENSI de Bourges)
Loick Lhote (MCF ENSICAEN)"
"MCF","27","","","Internes :
Beaudoin-Lafon Michel
Cohen-Boulakia Sarah
Frenoux Emmanuelle
Martignon Fabio
Pernelle Nathalie
Rozoy Brigitte (présidente)
Sarfati Alain
Tannier Xavier

Externes :
Amann Bernd
Blin Guillaume
Fekete Jean-Daniel
Loyer Yann
Nicaud Cyril
Pascual Fanny
Salotti Sylvie
Sens Pierre


"
"MCF","26","","","Local :
Sandrine Péché (présidente)
Raphaël Lefevere
Marie Théret
Josselin Garnier
Peter Tankov

Extérieur :
Annie Millet
Vincent Bansaye
Vincent Lemaire
Rémi Rhodes
François Delarue"
"MCF","27","","","\N"
"MCF","25","26","","\N"
"PR","26","","","\N"
"MCF","27","","","Christophe	Fouqueré
Adeline	Nazarenko
Sylvie	Després
Chantal	Reynaud
Béatrice	Daille
Mohand	Boughanem
Philippe	Blache
Christophe	Tollu
Joseph	Le Roux
Haïfa	Zargayouna
Marie	Candito
François	Scharffe
Philippe	Muller
Jean-Pierre	Chevallet
"
"PR","26","","","Pascal Chossat
Gilles Lebeau (president)
Philippe Maisonobe
Richard Pasquetti

Christophe Besse
Thierry Colin
Bruno Despres
Erwann Faou
"
"MCF","26","","","J. Clairambault (président)
A. Lambert
Hakim
E. Grenier
D. Salort
M. Boulakia
N. Vauchelet
N. Meunier"
"PR","25","","","Sylvain Duquesne
Frank Loray
Valérie Monbet (présidente)
Julien Sebag

Vincent Colin
Jean-Marc Couveignes
Johannes Huisman
Bruno Kahn
Lei Tan
Qing Liu"
"PR","26","","","Fabien Campillo
Pierre Del Moral (extétieur)
Gersende Fort (extérieur)
Arnaud Guillin (extérieur)
Christian Lavergne
Jean-Michel Marin (président)
François Rousset
Judith Rousseau (extérieur)
"
"MCF","25","","","Rang A

Membres internes : 
Nicolas Bergeron (président)
Alessandro Chiodo
Jean-François Dat
Nicolas Lerner

Membres externes :
François Beguin
Nicolas Burq
Pierre Pansu
Olivier Schiffmann

Rang B

Membres internes :
Erwan Brugallé
Pierre Charollois
Simone Diverio
Grégory Ginot

Membres externes :
Omid Amini
François Costantino
Maria Paula Gomez
Vincent Pilloni"
"MCF","26","","","\N"
"MCF","25","","","Membres locaux:

M. Herzlich, PR
P.E. Paradan, PR
B. Toen, DR
M. Joannides, MCF
I. Larramendy-Valverde, MCF
L. Nyssen, MCF

Membres extérieurs :
J. Bichon, PR
E. Paul, PR
R. Yu, PR
Ch. Boubel, MCF
J.B. Meilhan, MCF
P. Parent, MCF"
"MCF","26","","","\N"
"MCF","26","","","Alliot, Jean-Marc
Amodei, Lucas
Gergaud, Joseph
Gilbert, Jean Charles
Gratton, Serge
Messine, Frédéric
Nodet, Maëlle
Privat, Yannick
Ruiz, Daniel
Sager, Sebastian
Toint, Philippe (président)"
"PR","26","","","\N"
"MCF","25","","","\N"
"MCF","26","","","Francois Delarue (president)
Stephane Descombes
Frederic Patras
Julien Barre
Roland Diel
Patricia Reynaud-Bouret

Mireille Bossy
Laurent Cavalier
Stephane Menozzi
Romuald Elie
Magalie Fromont
Mathieu Merle
"
"MCF","26","","","B. Bouchard, P. Cardaliaguet, J.-F. Chassagneux, E. Chevalier, I. Kharoubi, M. Rosenbaum, G. Vigeral, G. Turinici"
"PR","25","26","","Didier Auroux
Philippe Maisonobe
Christian Pauly
Fabrice Planchon (president)
Laurent Stolovitch

Hakan Eliasson
Eric Lombardi
Ariane Mezard
Lionel Schwartz
Jean-Yves Welschinger"
"MCF","27","","","Internes :
AZE Jérôme
COHEN-BOULAKIA Sarah
ETIEMBLE Daniel (président)
GICQUEL Céline
LISSER Abdel
MERIGOT Alain
SEBAG Michèle
ZAÏDI Fatiha

Externes :
BERARD Béatrice
BODIRSKY Manuel
DUBOIS Catherine
MURAT Cécile
NOVELLI Jean Christophe
ROLLET Antoine
SZAFRANSKI Marie
VIALETTE Stéphane 



"
"MCF","27","","","Internes :
Aguillon François
Al Agha Khaldoun
Baboulin Marc
Bastoul Cédric
Lisser Abdel (président)
Martin Steven
Paulin Christine
Zaïdi Fatiha

Externes :

Delporte Carole
Fribourg Laurent
Lê Thi Hoài-An
Petit Franck
Pilard Laurence
Quessette Franck
Rovedakis Stéphane
Vial Sandrine"
"PR","26","","","Intérieurs:

Hajer Bahouri
Raphaël Danchin
Colette Guillopé (présidente)
Etienne Sandier


Extérieurs :

Sylvain Durand
Simon Masnou
Jean-Christophe Pesquet
Florence Tupin"
"MCF","26","","","Internes: 

Arnaud le Ny                         
Amine Asselah  (président)    
Sophie Pénisson                     
Stéphane Seuret        

Externes :

Cécile Durot (Paris 10)
Stéphane Menozzi (Evry)
Marie Théret (Paris 7)
Olivier Zindy (Paris 6)"
"MCF","25","","","\N"
"MCF","26","","","

Membres locaux

Alziary Bénédicte
Bolte Jérôme
Décamps Jean-Paul
Ruiz-Gazen Anne
Gensbittel Fabien
Leconte Evelyne
Schindler Ian
Voltchkova Ekaterina

Membres extérieurs

Berthet Philippe
Menozzi Stéphane
Patilea Valentin
Quincampoix Marc
Gadat Sébastien
Perchet Vianney
Vallet Guy
Verzelen Nicolas"
"PR","26","","","LOISEL Stéphane
MAUME-DESCHAMPS Véronique
PLANCHET Frédéric
ROBERT Christian

DECAMPS Jean Paul
GOBET Emmanuel
LAURENT Jean Paul
MORAUX Franck 
PRIGENT Jean Luc
ROSENBAUM Mathieu

"
"MCF","71","27","","Membres locaux
Christian Bourret (PR UPE-MLV)
Jean-Christophe Novelli (PR UPE-MLV)
Frédéric Toumazet (PR UPE-MLV, Président)
Nicolas Classeau (McF UPE-MLV)
Renaud Eppstein (McF UPE-MLV)
Philippe Gambette (McF UPE-MLV)

Membres extérieurs
Julien Cervelle (PR UPE-Créteil)
Amos David (PR Nancy)
Manuel Zacklad (PR CNAM)
Julia Bonaccorsi (McF UPE Créteil)
Anne Micheli (McF Paris VII)
Cécile Payeur (McF Nanterre)"
"MCF","27","","","\N"
"PR","25","26","27","Locaux :
BRESSAUD       Xavier
DEGOND         Pierre
LAMY           Stéphane
LOMBARDI       Eric (Président)
MALGOUYRES     François
YAKOUBSOHN     Jean-Claude

Extérieurs :
AMESTOY        Patrick
BERARD         Béatrice
CURIEN         Pierre-Louis
HADDAD         Serge
MORVAN         Jean-Marie
NOVELLI        Jean-Christophe
OUDET          Edouard
PARDO          Luis M.
PERRIER        Valérie
"
"PR","26","25","","Francois Delarue
Jean-Marc Gambaudo (president)
Thierry Goudon
Richard Pasquetti
Frederic Patras

Sylvie Benzoni
Lucien Birge
Fabienne Castell
Bertrand Maury
Denis Talay"
"MCF","26","","","J.-B. Caillau (Univ. Dijon, president)
G. Carlier (Univ. Paris-Dauphine)
P. Cenac (Univ. Dijon)
T. Champion (Univ. Toulon)
S. Fang (Univ. Dijon)
J.-B. Hiriart-Urruty (Univ. Toulouse)
A. Jourani (Univ. Dijon)
N. Juillet (Univ. Strasbourg)
P. Mardesic (Univ. Dijon)
L. Rifford (Univ. Nice)
M. Sigalotti (Ecole Polytechnique)
D. Sugny (Univ. Dijon)"
"MCF","26","","","Extérieurs :

A. Benabdallah
C. Bourdarias
F. Charles
D. Lannes
M. Ribot
D. Smets
J. Valein


Locaux :

B. Ferret
M. Fournié
P. Hild (Prés.)
J.-B. Hiriart-Urruty
S. Le Coz
J.-M. Roquejoffre
J. Vancostenoble

"
"MCF","26","","","Composition du comité de sélection : 

Extérieurs : 

A. Benabdallah 
C. Bourdarias 
F. Charles 
D. Lannes 
M. Ribot 
D. Smets 
J. Valein 


Locaux : 

 J.-B. Hiriart-Urruty 
P. Laborde (Prés.) 
A. Rondepierre
J.-M. Roquejoffre 
V. Roussier-Michon
J. Royer
M.-H. Vignal"
"PR","26","","","Luciano CAMPI
François COQUET
Mariana HARAGUS
Youri KABANOV
Célestin KOKONENDJI
Christian LE MERDY (Président)
Christian MAIRE
Pierre SARDA
Jérôme SARACCO
Pierre VALLOIS

"
"PR","26","","","Yves Achdou (U. Pierre et Marie Curie)
Bruno Bouchard (ENSAE)
Arnaud Guillin (U. Clermont-Ferrand)
Massimiliano Gubinelli (Dauphine)
Marc Hoffmann (Dauphine)
Pierre-Louis Lions (Collège de France)
Eric Séré (Dauphine)
Christian Robert (Dauphine)"
"PR","26","","","Membres intérieurs

Robbiano Luc (Président)
Donati-Martin Catherine
Dumas Laurent
Kavian Otared
Sécherre Vincent

Membres extérieurs

Alouges François
Cottet Georges-Henri
De Vuyst Florian
Godlewski Edwige
Lagoutière Frédéric"
"PR","25","","","\N"
"PR","25","","","\N"
"MCF","26","25","","Membres externes

A - BANICA Téodor
25 Univ. Cergy Pontoise PR
A - HELFFER Bernard
25 Univ. Paris-Sud 11 PR
A - LUDWIG Jean
25 Univ. Metz PR
A - MEHATS Florian
26 Univ. Rennes 1 PR
B - BEAUCHARD Karine
CNRS Ecole Polytechnique CR
B - CHALENDAR Isabelle
25 Univ. Lyon 1 MCF
B - MIOT Evelyne
CNRS Univ. Paris-Sud CR
B - NECHITA Ion
CNRS Univ. P. Sabatier, Toulouse CR

Membres internes

A - DE BIEVRE Stephan (25)
A - KERAANI Sahbi (26)
A - NEUFANG Matthias (25), president
A - SOUKHOV Alexandre (25)
B - DESIDERI Laura (25)
B - DUJARDIN Guillaume (26), vice-president
B - MALEK Stéphane (25)
B - TUMPACH Barbara (25)
"
"MCF","26","27","","Arnaud, Élise
Brauner, Nadia (présidente)
Chambolle, Antonin
d'Alché-Buc, Florence
d'Aspremont, Alexandre
Gilbert, Jean Charles
Harchaoui, Zaïd
Louditski, Anatoli
Malick, Jérôme
Peyré, Gabriel
Prieur, Clémentine
Pustelnik, Nelly"
"MCF","25","26","","\N"
